61873	64530
62134	21716
64317	18993
61349	12927
61405	61042
63617	3385
61186	61225
64243	61350
64770	4967
64884	61272
62140	16343
63400	17184
61311	51055
62191	64575
64052	61120
60640	26385
61394	61424
63402	63864
61138	61318
61228	61188
61318	61058
61408	61407
62024	21490
63471	65405
61041	61037
61049	55720
61398	51041
64803	64826
64827	61404
61325	61344
61354	65353
60950	57059
61308	68133
61362	61354
61986	63005
61120	61082
62646	65421
60143	9113
61044	61090
62652	61047
61224	61184
60758	60752
63488	61100
63985	63989
61215	53014
62746	55877
60733	60738
63768	22712
60652	71223
61708	20951
64822	64810
62451	65311
61049	51967
60121	8786
60652	71834
62217	52783
63509	66294
61054	72694
60104	13278
61422	49460
63398	73552
62661	63112
64813	61420
62161	55302
63387	13109
64279	64284
63509	55873
60484	2511
62107	62297
61975	16905
62412	61042
61376	8009
62970	23399
61048	20864
61127	61053
61254	3770
60647	2818
61439	51040
63794	10945
61311	61511
61132	61050
61222	61180
64799	64805
61402	61411
60128	21490
61169	25652
61236	61195
63475	8248
64481	64175
61211	61195
60816	3634
61075	61118
61240	2122
61128	61113
61316	64605
63411	63112
61049	55179
61862	62567
63864	64500
61791	61394
63870	20397
61320	61313
64190	17120
61259	29564
61350	61376
60135	52787
61105	63363
61047	62240
62639	63112
61378	3599
60783	60784
62706	71275
61048	8146
61407	64818
64275	64273
61279	50767
61374	61352
61305	9639
61518	2829
64186	63112
61112	13379
60347	65457
60900	66294
60640	28959
60971	13621
62925	63112
63517	21956
61048	71445
61047	52228
61433	51088
61336	62855
61201	19434
64768	50835
63400	49600
64659	21359
63969	61129
63617	22108
61420	22365
62217	23768
64133	62850
61200	61223
61124	61127
61261	73004
63291	63956
61045	17312
61048	61127
61138	61113
63126	20908
64837	51052
61066	73529
63547	6061
61219	61192
64239	61345
63901	61688
61194	61210
61400	61793
64530	61042
64759	63486
61278	65571
61049	61048
61229	61188
61319	61318
61948	23479
61047	66274
62207	61841
61309	63542
61370	61375
61975	14062
63337	71824
64820	64775
61062	65229
63200	63112
61232	61229
61263	17808
63412	62670
63989	74286
63546	20910
64823	64837
64835	12918
60831	52228
61200	53022
61242	63287
61382	61387
61047	63400
62607	61054
61308	71528
62727	3364
63977	62013
61986	65293
